"Value Research Online"
"Date: 16-Jul-2015 15:10"
"Fund","Rating","Minimum Investment (Rs)","Exit Load (Period)","Expense Ratio","Portfolio Manager (Tenure)"
"Motilal Oswal MOSt Shares NASDAQ - 100 ETF Fund","Unrated","10000","-","0.99"," Anubhav Srivastava (1.5)"
"Peerless Equity Fund","* * * * ","1000","-","3.13"," Amit Nigam (0.7)"
"PPFAS Long Term Value Fund - Regular Plan","Unrated","1000","2 (365)","2.73"," Rajeev Thakkar (2.2), Raunak Onkar (2.2), Ruchak Mehta (0.5)"
"Pramerica Diversified Equity Fund - Regular Plan","Unrated","5000","1 (365)","3.12"," Brahmaprakash Singh (0.4), Ritesh Jain (0.4)"
"Pramerica Large Cap Equity Fund","* * ","5000","-","3.03"," Brahmaprakash Singh (2.9), Ritesh Jain (1.0)"
"Pramerica Midcap Opportunities Fund - Regular Plan","Unrated","5000","1 (365)","3.05"," Brahmaprakash Singh (1.7), Ritesh Jain (1.0)"
"Principal Dividend Yield Fund","* * ","5000","-","2.65"," Dhimant Shah (3.6)"
"Principal Emerging Bluechip Fund","* * * ","5000","1 (365)","2.48"," Dhimant Shah (4.1)"
"Principal Global Opportunities Fund","Unrated","10000","1 (365)","0"," Rajat Jain (11.3)"
"Principal Growth Fund","* * * ","5000","-","2.52"," P V K Mohan (4.8)"
"Principal Index Fund - Midcap - Regular Plan","Unrated","5000","1 (90)","0.01"," Rupali Pandit (1.2)"
"Principal Index Fund - Nifty","* * ","5000","-","0.01"," Rupali Pandit (2.7)"
"Principal Large Cap Fund","* * * ","5000","1 (365)","2.53"," Anupam Tiwari (3.9)"
"Principal Personal Tax Saver Fund","* * ","500","-","2.51"," Anupam Tiwari (3.9)"
"Principal Tax Savings Fund","* * * ","500","-","2.54"," P V K Mohan (4.8)"
"Quantum Equity FoF Fund","Unrated","500","1.5 (365)","0.5"," Chirag Mehta (1.7)"
"Quantum Index Fund","Unrated","5000","-","0.5"," Hitendra Parekh (7.1)"
"Quantum Long Term Equity Fund","* * * ","500","4 (180)","1.25"," Atul Kumar (8.7), Nilesh Shetty (4.3)"
"Quantum Tax Saving Fund","* * * ","500","-","1.25"," Atul Kumar (6.6)"
"R*Shares Banking ETF","* * * * ","5000","-","0.22"," Krishan Daga (7.2)"
"R*Shares CNX 100 ETF","Unrated","5000","-","1.32"," Krishan Daga (2.4)"
"R*Shares Consumption ETF","Unrated","5000","-","0.05"," Krishan Daga (1.3)"
"R*Shares Dividend Opportunities ETF","Unrated","5000","-","0.05"," Krishan Daga (1.3)"
"R*Shares Nifty ETF","Unrated","5000","-","0.21"," Krishan Daga (1.7)"
"R*Shares NV20 ETF","Unrated","5000","-","-"," Krishan Daga (0.1)"
"R*Shares Sensex ETF","Unrated","5000","-","0.19"," Krishan Daga (0.8)"
"Reliance Banking Fund","* * * * ","5000","1 (365)","2.34"," Shrey Loonker (4.9), Sanjay Parekh (3.3)"
"Reliance Diversified Power Sector Fund","Unrated","5000","1 (365)","2.27"," Sunil B Singhania (11.0)"
"Reliance Equity Opportunities Fund","* * * ","5000","1 (365)","2.22"," Sailesh Raj Bhan (10.4), Viral Berawala (4.9)"
"Reliance Focused Large Cap Fund","* * ","5000","1 (365)","2.4"," Omprakash Kuckian (5.9)"
"Reliance Growth Fund","* * * ","5000","1 (365)","2.23"," Sunil B Singhania (11.5)"
"Reliance Index Fund - Nifty Plan","* * * ","5000","-","0.94"," Krishan Daga (4.9)"
"Reliance Index Fund - Sensex Plan","Unrated","5000","-","0.88"," Krishan Daga (4.9)"
"Reliance Japan Equity Fund","Unrated","5000","1 (365)","2.06"," Anju Chajjer (0.9), Jahnvee Shah (0.9)"
"Reliance Media & Entertainment Fund","Unrated","5000","1 (365)","2.91"," Sailesh Raj Bhan (10.3)"
"Reliance Mid & Small Cap Fund","* * * ","5000","-","2.38"," Sunil B Singhania (8.7), Samir Rachh (4.9)"
"Reliance NRI Equity Fund","* * * ","5000","1 (365)","2.93"," Omprakash Kuckian (7.5)"
"Reliance Pharma Fund","Unrated","5000","1 (365)","2.46"," Sailesh Raj Bhan (10.4)"
"Reliance Quant Plus Fund - Retail Plan","* * ","5000","-","2.92"," Krishan Daga (7.2)"
"Reliance Regular Savings Fund - Equity Option","* * * ","500","-","2.28"," Omprakash Kuckian (7.7)"
"Reliance Retirement Fund - Wealth Creation Scheme","Unrated","5000","1 (60)","2.99"," Anju Chajjer (0.5), Jahnvee Shah (0.5), Sanjay Parekh (0.5)"
"Reliance Small Cap Fund","* * * * ","5000","-","2.49"," Sunil B Singhania (4.9)"
"Reliance Tax Saver Fund","* * * * ","500","-","2.45"," Ashwani Kumar (9.9)"
"Reliance Top 200 Fund - Retail Plan","* * * ","5000","1 (365)","2.53"," Ashwani Kumar (8.1), Sailesh Raj Bhan (8.1)"
"Reliance US Equity Opportunities Fund","Unrated","5000","1 (365)","-"," Anju Chajjer (0.0), Jahnvee Shah (0.0)"
"Reliance Vision Fund","* * ","5000","-","2.28"," Ashwani Kumar (11.5)"
"Religare Invesco AGILE Fund","* ","5000","1 (365)","2.81"," Pranav Gokhale (4.3)"
"Religare Invesco Banking Fund","* * * ","5000","1 (365)","2.98"," Amit Ganatra (4.7)"
"Religare Invesco Business Leaders Fund","* * * * ","5000","1 (365)","3.02"," Vetri Subramaniam (6.0), Vinay Paharia (1.1)"
"Religare Invesco Contra Fund","* * ","5000","1 (365)","2.92"," Vetri Subramaniam (6.6), Amit Ganatra (2.9)"
"Religare Invesco Dynamic Equity Fund","* * * ","5000","1 (365)","2.91"," Vetri Subramaniam (6.6)"
"Religare Invesco Global Equity Income Fund - Regular Plan","Unrated","5000","1 (365)","2.03"," Neelesh Dhamnaskar (1.3)"
"Religare Invesco Growth Fund","* * * * ","5000","1 (365)","2.78"," Vetri Subramaniam (4.7), Amit Ganatra (1.1)"
"Religare Invesco Infrastructure Fund","* * * * * ","5000","1 (365)","3.05"," Pranav Gokhale (2.9)"
"Religare Invesco Mid Cap Fund","* * * * ","5000","1 (365)","3.06"," Vinay Paharia (6.6)"
"Religare Invesco Mid N Small Cap Fund","* * * * ","5000","1 (365)","2.74"," Vinay Paharia (7.2)"
"Religare Invesco Nifty Exchange Traded Fund","Unrated","5000","-","1"," Pranav Gokhale (4.2)"
"Religare Invesco Pan European Equity Fund - Regular Plan","Unrated","5000","1 (365)","1.41"," Neelesh Dhamnaskar (1.5)"
"Religare Invesco PSU Equity Fund","Unrated","5000","1 (365)","2.77"," Amit Ganatra (4.7), Vetri Subramaniam (4.7)"
"Religare Invesco Tax Plan","* * * * ","500","-","2.87"," Vetri Subramaniam (6.6), Vinay Paharia (5.1)"
"Sahara Banking and Financial Services Fund","* * * ","5000","1 (365)","2.81"," A N Sridhar (7.0)"
"Sahara Growth Fund","* ","3000","1 (365)","2.63"," A N Sridhar (8.5)"
"Sahara Infrastructure Fund - Fixed Pricing Option","* ","1000","1 (365)","2.27"," A N Sridhar (8.5)"
"Sahara Infrastructure Fund - Variable Pricing Option","* * ","1000","1 (365)","2.27"," A N Sridhar (8.5)"
"Sahara Midcap Fund","* ","1000","1 (365)","2.84"," A N Sridhar (8.5)"
"Sahara Power & Natural Resources Fund","Unrated","5000","1 (365)","2.82"," A N Sridhar (7.2)"
"Sahara R.E.A.L Fund","Unrated","5000","-","2.84"," A N Sridhar (7.8)"
"Sahara Star Value Fund","Unrated","5000","1 (365)","2.52"," A N Sridhar (6.0)"
"Sahara Super 20 Fund","Unrated","5000","1 (365)","2.82"," A N Sridhar (6.1)"
"Sahara Tax Gain Fund","* ","500","-","2.83"," A N Sridhar (8.5)"
"Sahara Wealth Plus Fund - Fixed Pricing Option","* * * * ","1000","1 (365)","2"," A N Sridhar (8.5)"
"Sahara Wealth Plus Fund - Variable Pricing Option","* * * * ","1000","1 (365)","2"," A N Sridhar (8.5)"
"SBI Banking & Financial Services Fund - Regular Plan","Unrated","5000","-","3.04"," Sohini Andani (0.4)"
"SBI Bluechip Fund","* * * * ","5000","1 (365)","2.39"," Sohini Andani (4.8)"
"SBI Contra Fund","* * ","5000","1 (365)","2.35"," R. Srinivasan (4.1)"
"SBI Emerging Businesses Fund","* * * ","5000","1 (365)","2.4"," R. Srinivasan (6.2)"
"SBI ETF Banking Fund","Unrated","5000","-","0.3"," Raviprakash Sharma (0.4)"
"SBI ETF BSE 100 Fund","Unrated","5000","-","0.3"," Raviprakash Sharma (0.4)"
"SBI ETF Nifty Junior Fund","Unrated","5000","-","0.3"," Raviprakash Sharma (0.4)"
"SBI FMCG Fund","Unrated","5000","-","2.9"," Saurabh Pant (4.1)"
"SBI Infrastructure Fund","* ","5000","1 (365)","2.63"," Richard D'souza (1.0)"
"SBI IT Fund","Unrated","5000","-","3.1"," Anup Upadhyay (4.1)"
"SBI Magnum COMMA Fund","Unrated","5000","1 (365)","2.84"," Richard D'souza (1.0)"
"SBI Magnum Equity Fund","* * * * ","5000","-","2.42"," R. Srinivasan (6.2)"
"SBI Magnum Global Fund","* * * * ","5000","-","2.4"," R. Srinivasan (6.2)"
"SBI Magnum Midcap Fund","* * * * * ","5000","1 (365)","2.54"," Sohini Andani (5.0)"
"SBI Magnum Multicap Fund","* * * ","1000","-","2.73"," Richard D'souza (3.6)"
"SBI Magnum Multiplier Fund","* * * * ","5000","-","2.47"," Jayesh Shroff (9.0)"
"SBI Magnum Taxgain Scheme","* * * ","500","-","2.21"," Jayesh Shroff (7.8)"
"SBI Nifty Index Fund","* * ","5000","1 (7)","1.62"," Raviprakash Sharma (4.4)"
"SBI Pharma Fund","Unrated","5000","-","2.68"," Tanmaya Desai (4.1)"
"SBI PSU Fund","Unrated","5000","1 (365)","2.89"," Richard D'souza (1.0)"
"SBI Sensex ETF","Unrated","5000","-","0.38"," Raviprakash Sharma (2.4)"
"SBI Small & Midcap Fund","Unrated","5000","1 (365)","2.61"," R. Srinivasan (1.7)"
"Sundaram Entertainment Opportunities Fund - Regular Plan","Unrated","100000","1 (365)","2.97"," Shiv Chanani (1.7), Avinash Agarwal (0.3)"
"Sundaram Equity Multiplier Fund","* * ","5000","-","2.88"," Shiv Chanani (2.5)"
"Sundaram Equity Plus Fund","Unrated","5000","1 (365)","2.07"," Shiv Chanani (2.5)"
"Sundaram Financial Services Opportunities Fund - Regular Plan","* * ","100000","2 (540)","2.94"," Shiv Chanani (0.3)"
"Sundaram Global Advantage Fund","Unrated","5000","-","1.4"," S Bharath (5.6)"
"Sundaram Growth Fund - Regular Plan","* ","5000","2 (540)","2.57"," Shiv Chanani (0.3)"
"Sundaram Infrastructure Advantage Fund - Regular Plan","Unrated","100000","-","2.85"," S Bharath (2.5)"
"Sundaram PSU Opportunities Fund","Unrated","100000","1 (365)","2.87"," Shiv Chanani (1.7), Avinash Agarwal (0.3)"
"Sundaram Rural India Fund - Regular Plan","Unrated","5000","-","2.89"," S Bharath (2.5)"
"Sundaram S.M.I.L.E. Fund - Regular Plan","* * ","5000","1 (365)","2.63"," S Krishna Kumar (9.5)"
"Sundaram Select Focus Fund - Regular Plan","* ","5000","-","2.75"," Shiv Chanani (0.3)"
"Sundaram Select Midcap Fund - Regular Plan","* * * ","5000","1 (365)","2.29"," S Krishna Kumar (2.7)"
"Sundaram Taxsaver","* * ","500","-","2.45"," Madanagopal Ramu (0.3), S Krishna Kumar (0.3)"
"Tata Dividend Yield Fund - Plan A","* * * ","5000","1 (365)","2.75"," Rupesh Patel (2.1)"
"Tata Equity Opportunities Fund - Plan A","* * * ","5000","1 (365)","2.6"," Pradeep Gokhale (2.1), Rupesh Patel (2.1)"
"Tata Equity PE Fund - Plan A","* * ","5000","1 (365)","2.83"," Atul Bhole (2.1)"
"Tata Ethical Fund - Plan A","* * * * * ","5000","1 (365)","2.97"," Pradeep Gokhale (3.5)"
"Tata Index Nifty Fund - Plan A","* * ","5000","-","1.77"," Pradeep Gokhale (3.5)"
"Tata Index Sensex Fund - Plan A","* * ","5000","-","1.77"," Pradeep Gokhale (3.5)"
"Tata Infrastructure Fund - Plan A","* * * ","5000","1 (365)","2.54"," Rupesh Patel (1.5)"
"Tata Midcap Growth Plan A Fund","* * * ","5000","-","3.01"," Atul Bhole (3.3)"
"Tata Pure Equity Fund - Plan A","* * * * ","5000","-","2.63"," Pradeep Gokhale (3.5)"
"Tata Retirement Savings Fund - Progressive Plan - Plan A","* * ","5000","-","3.07"," Nainesh Rajani (2.1), S Raghupathi Acharya (1.7), Rupesh Patel (0.3)"
"Tata Tax Saving Fund","* * * * ","500","-","2.74"," Rupesh Patel (0.3)"
"Taurus Banking & Financial Services Fund - Regular Plan","* * ","5000","1 (180)","2.9"," Sadanand Shetty (3.2)"
"Taurus Bonanza Fund - Regular Plan","* ","5000","1 (180)","2.98"," Sadanand Shetty (1.8)"
"Taurus Discovery Fund - Regular Plan","* * ","5000","1 (180)","2.88"," Sadanand Shetty (5.2)"
"Taurus Ethical Fund - Regular Plan","* * * ","5000","1 (180)","2.88"," Sadanand Shetty (1.8)"
"Taurus Infrastructure Fund - Regular Plan","* * * ","5000","1 (180)","2.87"," Sadanand Shetty (5.1)"
"Taurus Nifty Index Fund - Regular Plan","Unrated","5000","-","1.58"," Sadanand Shetty (5.1)"
"Taurus Starshare Fund - Regular Plan","* * ","5000","1 (180)","2.83"," Sadanand Shetty (5.1)"
"Taurus Tax Shield Fund - Regular Plan","* ","500","-","2.97"," Sadanand Shetty (5.2)"
"Templeton India Equity Income Fund","* * ","5000","1 (365)","2.45"," Chetan Sehgal (9.3), Vikas Chiranewal (8.9)"
"Templeton India Growth Fund","* * ","5000","-","2.66"," Chetan Sehgal (2.6)"
"Union KBC Equity Fund","* * ","5000","1 (365)","3.03"," Ashish Ranawade (4.2)"
"Union KBC Small and Midcap Fund - Regular Plan","Unrated","5000","1 (365)","3.12"," Ashish Ranawade (1.2)"
"Union KBC Tax Saver Fund","* * * ","500","-","3.21"," Ashish Ranawade (3.7)"
"UTI Banking Sector Fund - Regular Plan","* * * ","5000","1 (364)","2.81"," Lalit Nambiar (2.0), Amit Kumar Premchandani (1.1)"
"UTI Dividend Yield Fund","* ","5000","1 (364)","2.2"," Swati Kulkarni (9.6)"
"UTI Energy Fund","Unrated","5000","1 (364)","2.68"," Kaushik Basu (4.0), Sachin Trivedi (4.0)"
"UTI Equity Fund","* * * * * ","5000","1 (364)","2.2"," Anoop Bhaskar (8.3)"
"UTI Equity Tax Savings Fund","* * ","500","-","2.76"," Lalit Nambiar (1.1)"
"UTI India Lifestyle Fund","Unrated","5000","1 (364)","2.64"," Lalit Nambiar (4.0)"
"UTI Infrastructure Fund","* * ","5000","1 (364)","2.25"," Sanjay Ramdas Dongre (9.7)"
"UTI Leadership Equity Fund","* * * ","5000","1 (364)","2.25"," Sanjay Ramdas Dongre (9.5)"
"UTI Mastershare Fund","* * * * ","5000","1 (364)","2.3"," Swati Kulkarni (8.6)"
"UTI Mid Cap Fund","* * * * ","5000","1 (364)","2.36"," Anoop Bhaskar (8.3)"
"UTI MNC Fund","Unrated","5000","1 (364)","2.75"," Swati Kulkarni (11.0)"
"UTI Multi Cap Fund - Regular Plan","Unrated","5000","1 (364)","2.71"," Lalit Nambiar (0.9)"
"UTI Nifty Index Fund","* * * ","5000","1 (15)","0.51"," Kaushik Basu (4.0)"
"UTI Opportunities Fund","* * * * * ","5000","1 (364)","2.18"," Anoop Bhaskar (4.0)"
"UTI Pharma & Healthcare Fund","Unrated","5000","1 (364)","2.88"," Lalit Nambiar (6.9)"
"UTI Top 100 Fund","* * * * ","5000","1 (364)","2.62"," Swati Kulkarni (4.0)"
"UTI Transportation and Logistics Fund","Unrated","5000","1 (364)","2.78"," Anoop Bhaskar (8.3), Daylynn Gerard Paul Pinto (1.1)"
"UTI Wealth Builder Fund - Series II - Retail Plan","Unrated","5000","1 (364)","2.62"," Lalit Nambiar (4.0)"
